Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications,Overall_Skills,Performance_Level
Psychology,Teacher,4.566338664638026,1.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,4.0,0.0,2.0,0.0,2.142857142857143,
Art,Doctor,3.19249995864387,5.0,0.0,2.0,0.0,6.0,1.0,2.0,3.0,4.0,0.0,2.0,3.0,3.0,1.0,2.4285714285714284,Good
Engineering,Paralegal,2.9207042900764284,1.0,2.0,4.0,0.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,3.0,0.0,1.0,2.0,Average
Music,Art Director,3.78292121385146,6.0,1.0,3.0,0.0,8.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,2.0,0.0,2.2857142857142856,Excellent
Law,Psychologist,4.581031654142441,9.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0,4.0,3.0,3.0,0.0,0.0,1.8571428571428572,
Law,Data Scientist,3.452044937923984,5.0,2.0,3.0,0.0,3.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.2857142857142858,Good
Physics,Software Developer,3.038082477030586,7.0,1.0,3.0,0.0,5.0,1.0,1.0,3.0,4.0,1.0,0.0,4.0,4.0,1.0,2.4285714285714284,Good
Marketing,Graphic Designer,3.3871950610516777,3.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,2.0,4.0,1.0,0.0,2.142857142857143,Good
Marketing,Urban Planner,4.033337379126986,2.0,0.0,4.0,1.0,5.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,2.142857142857143,
Architecture,Investment Banker,2.790305704303844,3.0,0.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.2857142857142856,Average
Education,Curriculum Developer,3.0508604172686944,3.0,2.0,1.0,0.0,7.0,0.0,2.0,4.0,0.0,4.0,2.0,0.0,3.0,0.0,2.142857142857143,Good
Medicine,Microbiologist,4.690325622614975,6.0,2.0,1.0,0.0,5.0,0.0,4.0,2.0,1.0,4.0,2.0,0.0,0.0,1.0,1.8571428571428572,
Chemistry,Surgeon,3.1417042275029963,8.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,3.0,4.0,0.0,2.4285714285714284,Good
Music,Interior Designer,4.179276864405921,7.0,1.0,3.0,1.0,8.0,0.0,1.0,3.0,2.0,2.0,4.0,3.0,1.0,0.0,2.2857142857142856,
Chemistry,Education Administrator,4.212333987547685,0.0,1.0,4.0,1.0,9.0,1.0,4.0,1.0,3.0,3.0,0.0,0.0,3.0,1.0,2.0,
Computer Science,Data Scientist,3.621420878875026,0.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,4.0,3.0,0.0,2.0,4.0,0.0,2.2857142857142856,Excellent
Business,Mechanical Engineer,2.7599211820518037,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,1.0,1.8571428571428572,Average
Physics,Urban Planner,3.74708005223676,7.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,Excellent
Education,Biochemist,3.500019315410001,4.0,2.0,4.0,1.0,8.0,1.0,2.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,1.5714285714285714,Excellent
Engineering,Nuclear Physicist,2.929644640829822,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,3.0,1.0,0.0,1.7142857142857142,Average
Medicine,Market Research Analyst,2.8670739690819045,6.0,2.0,2.0,1.0,6.0,0.0,1.0,4.0,2.0,1.0,4.0,2.0,3.0,0.0,2.4285714285714284,Average
Biology,Aerospace Engineer,3.8951305108248526,9.0,0.0,3.0,1.0,8.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,4.0,1.0,1.8571428571428572,Excellent
Chemistry,Microbiologist,3.8695643464862863,6.0,1.0,4.0,1.0,8.0,0.0,3.0,4.0,4.0,2.0,3.0,1.0,3.0,0.0,2.857142857142857,Excellent
Finance,Game Developer,3.752472237757201,1.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,4.0,2.0,0.0,1.0,1.7142857142857142,Excellent
Law,Conductor,3.5092061094428795,6.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,3.0,0.0,1.0,4.0,4.0,1.0,2.0,Excellent
Art,Game Developer,4.543993395432022,3.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.8571428571428571,
Medicine,Animator,4.868112458444806,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,
Law,Sound Engineer,3.5918948428140984,4.0,2.0,4.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,4.0,2.0,0.0,1.0,2.142857142857143,Excellent
Psychology,Financial Advisor,3.561989740642229,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,1.2857142857142858,Excellent
Education,Curriculum Developer,3.4823549430047414,7.0,1.0,4.0,1.0,7.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,3.0,1.0,1.7142857142857142,Good
Law,Landscape Architect,3.062612942473321,0.0,0.0,3.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,Good
Marketing,Manager,4.385635955324699,8.0,0.0,3.0,1.0,2.0,0.0,2.0,4.0,2.0,1.0,2.0,4.0,3.0,0.0,2.5714285714285716,
Marketing,Accountant,2.572426267357782,0.0,0.0,4.0,1.0,4.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,Average
Physics,Ecologist,3.0655981145157054,7.0,0.0,3.0,0.0,7.0,0.0,1.0,3.0,4.0,1.0,3.0,1.0,2.0,0.0,2.142857142857143,Good
Chemistry,Legal Analyst,3.926535042580322,0.0,2.0,1.0,1.0,5.0,1.0,2.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,1.8571428571428572,Excellent
Music,Organic Chemist,3.048544481664348,9.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,1.7142857142857142,Good
Finance,Web Developer,3.3873579653113475,0.0,1.0,3.0,1.0,4.0,1.0,2.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,1.7142857142857142,Good
Marketing,Industrial-Organizational Psychologist,4.647235248464243,3.0,2.0,3.0,0.0,3.0,0.0,2.0,2.0,3.0,4.0,1.0,4.0,0.0,0.0,2.2857142857142856,
Chemistry,Interior Designer,2.520192130328506,1.0,1.0,0.0,0.0,7.0,0.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,2.4285714285714284,Average
Physics,Aerospace Engineer,4.675831753841454,2.0,2.0,4.0,1.0,3.0,0.0,4.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,1.7142857142857142,
Art,Conductor,3.4753446162259887,1.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1.7142857142857142,Good
Chemistry,Web Developer,4.215755640189045,1.0,0.0,2.0,0.0,7.0,0.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0,3.0,
Medicine,AI Researcher,3.748473690096581,9.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,1.5714285714285714,Excellent
Art,Aerospace Engineer,4.647663156368122,6.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,1.4285714285714286,
Education,Psychologist,3.889936345687226,6.0,1.0,0.0,0.0,7.0,0.0,3.0,4.0,0.0,4.0,2.0,0.0,3.0,1.0,2.2857142857142856,Excellent
Chemistry,Marketing Specialist,2.8090174336257374,9.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,0.0,1.7142857142857142,Average
Psychology,Risk Analyst,3.969376352477013,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,1.2857142857142858,Excellent
Law,Music Therapist,2.8915102368398724,3.0,0.0,2.0,1.0,6.0,0.0,3.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,1.7142857142857142,Average
Law,Interior Designer,3.138968178304591,0.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.2857142857142858,Good
Finance,Judge,2.5381646499431385,9.0,1.0,1.0,0.0,3.0,0.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,2.142857142857143,Average
Medicine,Art Therapist,3.047476225015817,6.0,1.0,4.0,0.0,3.0,1.0,0.0,3.0,2.0,4.0,3.0,3.0,0.0,0.0,2.142857142857143,Good
Engineering,Teacher,3.2267695431117165,5.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,Good
Medicine,Entrepreneur,4.4096604694609045,2.0,1.0,4.0,0.0,9.0,0.0,3.0,0.0,2.0,3.0,1.0,3.0,4.0,1.0,2.2857142857142856,
Computer Science,Art Therapist,3.528697356766357,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,0.0,3.142857142857143,Excellent
Marketing,Physicist,4.407120397209464,9.0,1.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,0.0,1.0,2.142857142857143,
Law,Chemist,4.87526061928022,5.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,4.0,1.0,3.0,1.0,2.0,
Architecture,Art Director,4.803756541848001,3.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,1.8571428571428572,
Architecture,Lawyer,3.977176081351389,4.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.1428571428571428,Excellent
Engineering,Inorganic Chemist,4.054943922412952,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,4.0,3.0,0.0,3.0,3.0,1.0,2.2857142857142856,
Finance,Brand Manager,3.086418262922494,8.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,4.0,0.0,3.0,2.0,1.0,1.0,2.0,Good
Business,Nuclear Physicist,2.766411210226466,3.0,1.0,3.0,1.0,7.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0,1.5714285714285714,Average
Marketing,Artist,2.767842218069962,2.0,2.0,0.0,1.0,6.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,Average
Marketing,Acoustics Specialist,3.93042065815363,1.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.4285714285714286,Excellent
Computer Science,Interior Designer,3.272845118630083,6.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,4.0,1.0,1.7142857142857142,Good
Chemistry,Actuary,3.942509494713492,9.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,1.5714285714285714,Excellent
Chemistry,Dentist,4.565848763989988,9.0,2.0,1.0,1.0,5.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,1.1428571428571428,
Music,Music Therapist,3.45206242822771,6.0,2.0,4.0,1.0,3.0,0.0,2.0,1.0,3.0,4.0,4.0,3.0,4.0,0.0,3.0,Good
Business,Landscape Architect,3.9156942609742016,2.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,1.0,3.0,0.0,2.0,2.0,0.0,1.4285714285714286,Excellent
Psychology,Biomedical Engineer,3.4713398553946284,9.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,1.7142857142857142,Good
Marketing,Legal Secretary,4.36795643229726,7.0,1.0,3.0,1.0,4.0,0.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,2.142857142857143,
Architecture,Chemical Engineer,2.895547940326997,8.0,2.0,2.0,1.0,0.0,1.0,4.0,1.0,3.0,4.0,3.0,1.0,4.0,1.0,2.857142857142857,Average
Physics,Astronomer,4.308895919099701,2.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,2.5714285714285716,
Chemistry,Organic Chemist,4.0833618625398245,7.0,0.0,1.0,1.0,5.0,1.0,4.0,1.0,3.0,4.0,1.0,4.0,0.0,1.0,2.4285714285714284,
Computer Science,Animator,4.513594197725976,8.0,2.0,1.0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,1.7142857142857142,
Engineering,Zoologist,2.966120105564698,3.0,1.0,3.0,0.0,8.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,1.0,1.0,1.5714285714285714,Average
Engineering,Biomedical Engineer,3.409148680327732,6.0,2.0,3.0,0.0,7.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.1428571428571428,Good
Marketing,Music Teacher,4.079120339560614,5.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.8571428571428571,
Medicine,Nurse,4.880409785984379,3.0,0.0,1.0,1.0,4.0,0.0,1.0,4.0,3.0,1.0,3.0,2.0,4.0,1.0,2.5714285714285716,
Engineering,Legal Consultant,4.072392548064631,8.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,1.0,3.2857142857142856,
Marketing,Curriculum Developer,2.884064393203676,4.0,1.0,2.0,0.0,8.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,1.5714285714285714,Average
Music,Civil Engineer,3.1479830280031185,8.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8571428571428571,Good
Architecture,Software Developer,4.450911168580807,8.0,0.0,2.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,1.2857142857142858,
Finance,Biochemist,4.804682988310068,1.0,2.0,4.0,0.0,6.0,0.0,4.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,
Business,Software Developer,4.003754338502018,8.0,2.0,1.0,0.0,6.0,1.0,0.0,4.0,4.0,0.0,2.0,3.0,2.0,1.0,2.142857142857143,
Business,Web Developer,4.570196678252482,5.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,4.0,1.0,1.7142857142857142,
Biology,Architect,3.1387198663822367,2.0,0.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,0.0,0.0,1.0,1.7142857142857142,Good
Finance,Construction Manager,4.414580737184015,9.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,1.2857142857142858,
Marketing,Graphic Designer,2.721829040517122,3.0,1.0,2.0,1.0,6.0,0.0,4.0,2.0,0.0,0.0,4.0,2.0,4.0,1.0,2.2857142857142856,Average
Business,Risk Analyst,4.98173947780012,3.0,1.0,2.0,1.0,5.0,1.0,3.0,2.0,0.0,0.0,4.0,4.0,3.0,0.0,2.2857142857142856,
Architecture,Music Therapist,2.896821226895141,7.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.2857142857142858,Average
Art,Biomedical Engineer,3.322279400547208,1.0,0.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,2.0,0.0,1.0,4.0,1.0,2.2857142857142856,Good
Architecture,Zoologist,3.720865401745997,4.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.5714285714285714,Excellent
Business,Investment Banker,3.656134112635971,3.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,3.0,3.0,0.0,1.8571428571428572,Excellent
Biology,Game Developer,4.680543589762815,1.0,0.0,4.0,0.0,4.0,0.0,4.0,1.0,3.0,4.0,1.0,2.0,3.0,0.0,2.5714285714285716,
Finance,Construction Manager,3.5406792476043205,2.0,2.0,4.0,1.0,5.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,0.0,2.142857142857143,Excellent
Marketing,Analytical Chemist,3.851035641318067,4.0,1.0,3.0,0.0,9.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,4.0,0.0,1.8571428571428572,Excellent
Education,School Psychologist,3.690179762543067,7.0,2.0,2.0,1.0,9.0,1.0,0.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,2.142857142857143,Excellent
Engineering,Chemist,2.904276111470244,4.0,1.0,3.0,0.0,9.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,4.0,0.0,1.8571428571428572,Average
Music,Inorganic Chemist,3.5715372051038616,5.0,1.0,0.0,0.0,6.0,1.0,4.0,4.0,4.0,0.0,2.0,1.0,4.0,0.0,2.7142857142857144,Excellent
Art,Art Director,2.804905802367072,2.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,1.5714285714285714,Average
Medicine,Music Therapist,3.353321389356216,0.0,1.0,3.0,0.0,7.0,1.0,0.0,0.0,3.0,3.0,4.0,1.0,4.0,1.0,2.142857142857143,Good
Business,Data Scientist,3.108749716678445,6.0,0.0,1.0,1.0,7.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,0.0,0.0,2.5714285714285716,Good
Architecture,Accountant,4.118273725440004,7.0,1.0,3.0,1.0,9.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,
Psychology,Special Education Teacher,4.963985951202176,0.0,1.0,2.0,0.0,9.0,0.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,0.0,2.2857142857142856,
Chemistry,Pharmacist,4.80465554005941,2.0,0.0,2.0,1.0,6.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0,1.4285714285714286,
Finance,Financial Analyst,2.700773559372515,5.0,0.0,3.0,1.0,8.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,2.2857142857142856,Average
Marketing,Principal,3.1410770620679367,9.0,1.0,2.0,1.0,5.0,0.0,3.0,4.0,3.0,2.0,0.0,4.0,4.0,0.0,2.857142857142857,Good
Psychology,Digital Marketing Specialist,4.97981233718659,1.0,0.0,3.0,0.0,5.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,
Medicine,Fluid Mechanics Engineer,4.031539630293674,9.0,0.0,3.0,1.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.8571428571428571,
Medicine,Advertising Manager,2.9536008704304835,9.0,0.0,0.0,1.0,6.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.1428571428571428,Average
Medicine,Aerospace Engineer,4.288515704810253,7.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,3.0,1.0,1.7142857142857142,
Finance,Mechanical Engineer,3.3274408007378207,5.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,4.0,1.0,4.0,2.0,3.0,1.0,2.2857142857142856,Good
Education,Inorganic Chemist,4.434419461952392,5.0,1.0,2.0,0.0,9.0,1.0,3.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,1.8571428571428572,
Finance,Software Developer,4.489898353129243,5.0,0.0,2.0,0.0,5.0,1.0,4.0,1.0,0.0,0.0,1.0,4.0,3.0,1.0,1.8571428571428572,
Chemistry,Industrial-Organizational Psychologist,3.09882846394756,9.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,4.0,0.0,1.5714285714285714,Good
Engineering,Actuary,3.148532439341283,0.0,1.0,1.0,1.0,3.0,0.0,4.0,4.0,3.0,1.0,3.0,1.0,4.0,0.0,2.857142857142857,Good
Psychology,Manager,4.946497618234126,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,3.0,0.0,1.5714285714285714,
Law,Risk Analyst,2.942114261569148,8.0,2.0,4.0,1.0,4.0,0.0,0.0,4.0,3.0,3.0,2.0,0.0,3.0,0.0,2.142857142857143,Average
Computer Science,Construction Manager,3.568052007762488,5.0,1.0,1.0,1.0,4.0,0.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,3.142857142857143,Excellent
Psychology,Biologist,4.8419642332465225,6.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,
Chemistry,Legal Consultant,4.784433016197197,0.0,2.0,4.0,0.0,1.0,1.0,4.0,2.0,4.0,0.0,1.0,0.0,4.0,1.0,2.142857142857143,
Music,Cybersecurity Analyst,4.844691084959512,4.0,2.0,1.0,0.0,5.0,1.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.5714285714285714,
Business,Psychologist,2.7366523722458016,2.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,4.0,1.0,3.0,1.0,1.0,1.8571428571428572,Average
